Facility,Destination City,Supplier,Base + FSC
LA/LB Ports,"BAKERSFIELD, CA",South Bay Drayage- LOS ANGELES LONG BEACH,862.75
LA/LB Ports,"BAKERSFIELD, CA",XTL Trucking,899
LA/LB Ports,"BAKERSFIELD, CA",Cargomatic,906.25
LA/LB Ports,"BAKERSFIELD, CA",Trucking 2000,949.75
LA/LB Ports,"BAKERSFIELD, CA",fitted transportation,1015
LA/LB Ports,"BAKERSFIELD, CA",NGL LOGISTICS,1116.5
LA/LB Ports,"BEAUMONT, CA",FORREST LOGISTICS,594.5
LA/LB Ports,"BEAUMONT, CA",Mid Lane Carriers Inc.,624.95
LA/LB Ports,"BEAUMONT, CA",DCW Logistics,638
LA/LB Ports,"BEAUMONT, CA","Hight Logistics, Inc.",652.5
LA/LB Ports,"BEAUMONT, CA",South Bay Drayage- LOS ANGELES LONG BEACH,652.5
LA/LB Ports,"BEAUMONT, CA",Franco Trucking - LOS ANGELES LONG BEACH,667
LA/LB Ports,"BEAUMONT, CA",Elev8 Transportation LLC,688.75
LA/LB Ports,"BEAUMONT, CA",Cargomatic,703.25
LA/LB Ports,"BEAUMONT, CA",J&S LOGISTICS,710.5
LA/LB Ports,"BEAUMONT, CA",fitted transportation,725
LA/LB Ports,"BEAUMONT, CA",XTL Trucking,725
LA/LB Ports,"BEAUMONT, CA",Trucking 2000,755.45
LA/LB Ports,"BEAUMONT, CA",NGL LOGISTICS,986
LA/LB Ports,"BELL, CA",fitted transportation,290
LA/LB Ports,"BELL, CA",DCW Logistics,313.2
LA/LB Ports,"BELL, CA",Mid Lane Carriers Inc.,319.03
LA/LB Ports,"BELL, CA",NGL LOGISTICS,326.25
LA/LB Ports,"BELL, CA",FORREST LOGISTICS,333.5
LA/LB Ports,"BELL, CA",J&S LOGISTICS,333.5
LA/LB Ports,"BELL, CA",Elev8 Transportation LLC,334.95
LA/LB Ports,"BELL, CA",Franco Trucking - LOS ANGELES LONG BEACH,340.75
LA/LB Ports,"BELL, CA","Hight Logistics, Inc.",340.75
LA/LB Ports,"BELL, CA",Trucking 2000,348
LA/LB Ports,"BELL, CA",XTL Trucking,355.25
LA/LB Ports,"BELL, CA",Cargomatic,391.5
LA/LB Ports,"BELL, CA",South Bay Drayage- LOS ANGELES LONG BEACH,435
LA/LB Ports,"BELL, CA",STARLING FREIGHT INC,580
